Fri Mar 14 00:58:52 CET 2014, 47,37,357374,95288,3275,39856,23277,11445,8919,8807, Right
Fri Mar 14 00:58:54 CET 2014, 40,37,463166,63330,30228,4000,8936,3258,4617,779, Right
Fri Mar 14 00:58:55 CET 2014, 51,34,44031,36189,10463,15836,19152,14099,15851,1762, Right
Fri Mar 14 00:58:56 CET 2014, 47,40,25754,25175,9267,23391,16885,6757,13896,3794, Right

Fri Mar 14 00:59:01 CET 2014, 77,41,74648,82123,40222,18748,21791,15856,6293,1873, Right
Fri Mar 14 00:59:02 CET 2014, 70,43,911776,124050,40355,24084,34635,32121,12943,5289, Right
Fri Mar 14 00:59:03 CET 2014, 54,48,149897,10212,11946,7650,1065,1611,1327,900, Right
Fri Mar 14 00:59:04 CET 2014, 48,56,155148,148678,54618,106072,23463,24939,16040,2468, Right
Fri Mar 14 00:59:05 CET 2014, 48,56,731236,197649,59997,49160,61606,42677,12881,5180, Right
Fri Mar 14 00:59:06 CET 2014, 35,41,148353,23720,1602,1060,671,782,733,345, Right
Fri Mar 14 00:59:07 CET 2014, 20,41,65243,44745,10247,7023,8302,2574,2901,1369, Right
Fri Mar 14 00:59:07 CET 2014, 24,41,80252,31369,63500,27753,14940,9580,18925,2397, Right

Fri Mar 14 00:59:13 CET 2014, 70,63,17416,30635,4476,15868,8070,17019,5853,6078, Right
Fri Mar 14 00:59:14 CET 2014, 69,63,281680,26109,21342,75158,14739,13449,6341,2684, Right
Fri Mar 14 00:59:15 CET 2014, 78,54,105749,23714,24307,9896,29307,31426,10411,2444, Right
Fri Mar 14 00:59:16 CET 2014, 90,57,145849,7556,7354,7319,2600,5486,1154,916, Right
Fri Mar 14 00:59:17 CET 2014, 70,54,58825,156331,14626,39660,31045,10624,8611,2881, Right
Fri Mar 14 00:59:18 CET 2014, 80,53,80716,9136,13324,39162,11980,17398,7637,5728, Right
Fri Mar 14 00:59:19 CET 2014, 67,57,29849,35205,31361,17027,4148,13985,8398,3885, Right

Fri Mar 14 00:59:25 CET 2014, 84,53,258513,10319,2016,13110,17488,10330,2242,755, Rest
Fri Mar 14 00:59:26 CET 2014, 69,40,171098,52021,15093,13336,12973,3197,5539,2963, Rest
Fri Mar 14 00:59:26 CET 2014, 61,41,169208,24672,17082,9037,3525,5025,2389,1271, Rest
Fri Mar 14 00:59:27 CET 2014, 61,41,673850,46087,9846,20236,5975,14479,2667,1398, Rest
Fri Mar 14 00:59:29 CET 2014, 34,41,753781,339436,118873,27403,10740,13284,1989,1551, Rest
Fri Mar 14 00:59:30 CET 2014, 37,51,790865,88655,37409,79845,15515,10312,11331,5019, Rest
Fri Mar 14 00:59:32 CET 2014, 47,54,509063,24480,44959,14132,13671,23959,9408,6569, Rest

Fri Mar 14 00:59:38 CET 2014, 40,38,774767,260778,5920,79573,14114,12606,7833,3619, Rest
Fri Mar 14 00:59:39 CET 2014, 44,41,256978,29873,1270,9136,2926,3966,3363,1042, Rest
Fri Mar 14 00:59:40 CET 2014, 43,47,249532,29235,15797,95176,16867,14601,17421,1688, Rest
Fri Mar 14 00:59:41 CET 2014, 51,53,101989,28411,31378,43668,19170,27408,9613,1535, Rest
Fri Mar 14 00:59:42 CET 2014, 69,61,81815,7867,3661,14150,11773,6117,1542,633, Rest
Fri Mar 14 00:59:43 CET 2014, 69,61,907352,22132,13413,8582,6571,4699,3242,3104, Rest
Fri Mar 14 00:59:44 CET 2014, 64,54,134648,39155,3900,2685,5214,3158,3003,741, Rest
Fri Mar 14 00:59:45 CET 2014, 67,47,30731,40900,30871,24536,21377,13762,8954,3771, Rest

Fri Mar 14 00:59:51 CET 2014, 66,53,117384,5923,888,581,717,704,198,222, Rest
Fri Mar 14 00:59:52 CET 2014, 54,53,93606,24011,27221,13950,11066,5180,1504,1434, Rest
Fri Mar 14 00:59:52 CET 2014, 54,53,1217926,2246757,207441,24081,142372,183436,66180,52543, Rest
Fri Mar 14 00:59:54 CET 2014, 27,34,110667,54144,3147,7668,3875,736,653,220, Rest
Fri Mar 14 00:59:54 CET 2014, 34,35,61143,84953,17574,51691,12429,30058,3819,3049, Rest
Fri Mar 14 00:59:56 CET 2014, 29,41,619579,39762,8020,9722,4087,3748,1619,346, Rest
Fri Mar 14 00:59:57 CET 2014, 38,41,617925,51246,31813,57619,9012,26460,8972,2711, Rest
Fri Mar 14 00:59:58 CET 2014, 61,63,58534,29486,34282,68231,7729,15098,15466,3173, Rest
Fri Mar 14 00:59:59 CET 2014, 43,63,364448,148136,44519,55197,15534,8080,21630,4384, Rest
Fri Mar 14 01:00:00 CET 2014, 41,80,31984,36684,12669,91229,2796,7001,5082,4129, Rest

Fri Mar 14 01:00:08 CET 2014, 60,30,19748,78770,23246,29367,20136,13436,10199,5181, Rest
Fri Mar 14 01:00:09 CET 2014, 57,34,83541,59278,8021,51906,11156,12533,8245,2282, Rest
Fri Mar 14 01:00:10 CET 2014, 69,43,72492,12452,13621,12609,14227,21535,15470,7497, Rest
Fri Mar 14 01:00:11 CET 2014, 69,56,39908,46918,40299,41316,8009,13192,10874,2825, Rest
Fri Mar 14 01:00:12 CET 2014, 74,67,111402,21730,22997,54914,9718,12529,8075,4390, Rest
Fri Mar 14 01:00:13 CET 2014, 69,74,1268408,45715,20548,68776,15166,11220,12894,3811, Rest
Fri Mar 14 01:00:14 CET 2014, 48,78,46968,63370,69458,24070,23689,10758,18024,7453, Rest
Fri Mar 14 01:00:14 CET 2014, 51,77,53057,24776,30958,13457,12645,9342,13333,2394, Rest
Fri Mar 14 01:00:16 CET 2014, 47,66,585380,102996,47915,37269,26638,14043,11755,5809, Rest

